serial,mac
n7a-0093,e0:46:9a:5a:c0:36
n8c-0002,2c:b0:5d:7f:63:72
n8c-0038,44:94:fc:7f:49:0c
n8t-0063,08:bd:43:b9:ed:3c
n7a-0077,e0:46:9a:5a:c0:54
n8t-0023,04:a1:51:a3:31:f4
n8t-0003,04:a1:51:9d:60:f8
n8t-0104,20:4e:7f:85:db:c7
n8t-0035,08:bd:43:ba:ac:b2
n8c-0040,44:94:fc:95:ea:45
n8t-0077,04:a1:51:ba:72:a9
n8c-0048,44:94:fc:8d:1c:78
n8t-0027,c4:04:15:8f:30:72
n8t-0072,c4:04:15:9b:5e:b4
n8c-0046,04:a1:51:a0:60:a4
n8c-0017,44:94:fc:91:e9:36
n8c-0032,20:4e:7f:85:a8:40
n8t-0106,08:bd:43:b2:8b:56
n8c-0001,20:4e:7f:91:a2:44
n8c-0006,74:44:01:7a:9c:3e
n7a-0096,e0:46:9a:5a:bf:94
n8t-0060,08:bd:43:ac:78:d7
n8c-0010,04:a1:51:9b:a0:7e
n8c-0020,10:0d:7f:45:73:bc
n8c-0016,04:a1:51:ac:68:7d
n7a-0092,e0:46:9a:5a:f0:24
n8t-0068,08:bd:43:be:49:b3
n8c-0099,74:44:01:81:72:8b
n8t-0057,08:bd:43:c8:74:69
n8c-0019,74:44:01:96:55:2b
n8t-0062,04:a1:51:ba:45:d9
n8t-0064,c4:04:15:a3:5d:11
n7a-0031,e0:46:9a:5a:df:e0
n8c-0049,2c:b0:5d:7f:51:9f
n8t-0061,c4:04:15:9a:fd:13
n8t-0078,08:bd:43:c3:7e:bb
n8t-0071,c4:04:15:8f:50:82
n8c-0004,74:44:01:96:47:e4
n8c-0012,2c:b0:5d:a0:db:52
n8c-0098,04:a1:51:a3:09:0e
n8c-0034,2c:b0:5d:7f:60:a8
n7a-0091,e0:46:9a:5a:ec:85
n8c-0007,04:a1:51:8b:0f:f9
n8c-0030,44:94:fc:72:d2:c8
n8c-0008,04:a1:51:b1:71:e5
n8t-0073,c4:04:15:a3:90:8c
n8c-0041,20:4e:7f:80:38:e8
n7a-0087,e0:46:9a:5a:e0:43
n8c-0009,74:44:01:81:7f:c3
n8c-0011,04:a1:51:9d:7b:14
n8t-0067,c4:04:15:9b:4c:03
n8c-0033,2c:b0:5d:87:3a:4c
n8c-0050,44:94:fc:8d:37:03
n8t-0058,20:4e:7f:8e:57:69
n8t-0055,08:bd:43:b0:ea:7b
n8c-0045,2c:b0:5d:a0:f2:ef
n7a-0089,e0:46:9a:5a:e6:25
n8c-0043,44:94:fc:8d:12:76
n8t-0065,c4:04:15:90:57:c5
n7a-0078,e0:46:9a:5a:c0:09
n8c-0024,2c:b0:5d:7f:6a:f8
n8c-0102,74:44:01:84:81:50
n8c-0029,28:c6:8e:c1:a9:ed
n8c-0036,74:44:01:93:54:51
n8t-0066,08:bd:43:c8:7b:11
n8t-0076,08:bd:43:ba:a6:5b
n8t-0105,08:bd:43:ac:5f:6c
n8c-0039,04:a1:51:a0:16:85
n8t-0056,08:bd:43:ab:9b:f4
n8c-0022,74:44:01:7a:b7:59
n8t-0074,c4:04:15:9d:72:1c
n8t-0015,04:a1:51:a3:31:8e
n8t-0059,08:bd:43:b1:52:5e
n8c-0014,74:44:01:93:75:d2
n8c-0005,44:94:fc:73:25:09
n7a-0088,e0:46:9a:51:74:30
n8c-0013,20:4e:7f:91:b0:f9
n7a-0095,a0:21:b7:a2:d3:67
n7a-0083,e0:46:9a:5a:e9:22
n7a-0079,e0:46:9a:5a:e0:6d
n8t-0053,c4:04:15:90:1b:d1
n8c-0028,74:44:01:71:dc:7f
n8c-0044,74:44:01:7a:b7:95
n8t-0070,c4:04:15:a9:90:d8
n7a-0084,e0:46:9a:5a:e0:c4
n7a-0081,e0:46:9a:5a:bf:fd
n8c-0025,74:44:01:96:52:b2
n8c-0021,44:94:fc:7f:5f:23
rob-1,e8:9f:80:ef:61:54
rob-2,e8:9f:80:4f:ef:d2
david-1,e8:9f:80:e3:c0:c4
david-2,e8:9f:80:ef:5a:80
david-3,e8:9f:80:e3:c0:08
n8c-0026,44:94:fc:73:34:78
n7a-0076,e0:46:9a:5a:df:b0
n7a-0085,e0:46:9a:5a:c0:c6
n7a-0097,e0:46:9a:5a:c0:78
n7a-0080,e0:46:9a:5a:e0:0d
n7a-0086,e0:46:9a:5a:c0:51
n8c-0101,28:c6:8e:c5:f7:9a
n8c-0042,2c:b0:5d:82:e7:ff
n8t-0075,08:bd:43:ac:b0:12
n8c-0106,c4:04:15:9a:64:82
n8c-0107,08:bd:43:ac:7b:b9
n7t-0108,e0:46:9a:58:c0:63
n8t-0052,c4:04:15:9b:58:99
n8c-0100,44:94:fc:73:02:80
n8c-0047,44:94:fc:73:7a:f2
n7a-0090,e0:46:9a:5a:e3:88
n8c-0018,44:94:fc:8c:f0:f8
n8t-0054,c4:04:15:ad:a3:93
l-0001,80:69:1a:23:0e:1f
l-0002,d8:ec:5e:df:09:13
l-0003,d8:ec:5e:de:ff:5f
l-0004,80:69:1a:23:0b:a3
